Field variables file

Angle of attack:         0                   
Mach:                    0.7                 
Field cells:             675                 

              x              y              z            U_x            U_y            U_z           Mach          Sigma
       0.677778              3           -0.4        1.02741   -0.000223114      0.0302996       0.721501     -0.0501631
       0.722222              3           -0.4        1.02292   -0.000256615      0.0321901       0.718069     -0.0515317
       0.766667              3           -0.4        1.01836   -0.000288979       0.033349       0.714575     -0.0516142
       0.811111              3           -0.4        1.01386   -0.000320116      0.0337855       0.711108     -0.0503585
       0.855556              3           -0.4        1.00953   -0.000349949      0.0335295       0.707762     -0.0477403
            0.9              3           -0.4        1.00549    -0.00037842      0.0326372        0.70463     -0.0438154
       0.944444              3           -0.4        1.00186   -0.000405483      0.0311949       0.701801      -0.038768
       0.988889              3           -0.4       0.998714   -0.000431107      0.0293177       0.699343     -0.0329275
        1.03333              3           -0.4       0.996114    -0.00045527      0.0271401       0.697299     -0.0267333
        1.07778              3           -0.4       0.994065   -0.000477959      0.0248009        0.69568     -0.0206516
        1.12222              3           -0.4       0.992538   -0.000499166      0.0224267       0.694466     -0.0150778
        1.16667              3           -0.4       0.991474   -0.000518889      0.0201193       0.693611     -0.0102701
        1.21111              3           -0.4       0.990796   -0.000537132      0.0179499        0.69306    -0.00633474
        1.25556              3           -0.4       0.990426   -0.000553904      0.0159602        0.69275    -0.00325457
            1.3              3           -0.4       0.990292   -0.000569218      0.0141679       0.692627   -0.000935549
        1.34444              3           -0.4       0.990331   -0.000583096      0.0125737        0.69264    0.000749802
        1.38889              3           -0.4       0.990492   -0.000595565      0.0111677       0.692751     0.00193222
        1.43333              3           -0.4       0.990737   -0.000606656     0.00993401       0.692928     0.00272916
        1.47778              3           -0.4       0.991035   -0.000616407     0.00885455       0.693149     0.00323833
      -0.477778              3      -0.333333       0.986946    0.000578057      -0.013743        0.69006    -0.00500741
      -0.433333              3      -0.333333       0.986476    0.000562342     -0.0158114       0.689723    -0.00361016
      -0.388889              3      -0.333333       0.986153    0.000545136     -0.0182459       0.689508    -0.00130938
      -0.344444              3      -0.333333       0.986073    0.000526429     -0.0210986        0.68949     0.00228169
           -0.3              3      -0.333333       0.986368    0.000506221      -0.024411       0.689775     0.00765702
      -0.255556              3      -0.333333       0.987221    0.000484517     -0.0281956       0.690505      0.0153852
      -0.211111              3      -0.333333       0.988865     0.00046133     -0.0324068       0.691862      0.0259938
      -0.166667              3      -0.333333       0.991571    0.000436673     -0.0368996       0.694056      0.0397163
      -0.122222              3      -0.333333       0.995609    0.000410555     -0.0413854       0.697287      0.0560856
     -0.0777778              3      -0.333333        1.00116    0.000382977     -0.0454073       0.701683      0.0734988
     -0.0333333              3      -0.333333        1.00821    0.000353924     -0.0483729       0.707211      0.0891102
      0.0111111              3      -0.333333        1.01646    0.000323375     -0.0496708       0.713618      0.0994682
      0.0555556              3      -0.333333        1.02532    0.000291316      -0.048846       0.720437       0.101854
            0.1              3      -0.333333        1.03405    0.000257771     -0.0457499        0.72709      0.0955129
       0.144444              3      -0.333333        1.04192    0.000222816     -0.0405753       0.733037      0.0818491
       0.188889              3      -0.333333        1.04839    0.000186595     -0.0337686       0.737888      0.0635519
       0.233333              3      -0.333333        1.05317    0.000149301     -0.0258847       0.741446      0.0434291
       0.277778              3      -0.333333         1.0562    0.000111169     -0.0174613       0.743677      0.0236527
       0.322222              3      -0.333333        1.05756    7.24533e-05    -0.00894864       0.744659     0.00555361
       0.366667              3      -0.333333        1.05743    3.34077e-05   -0.000686578       0.744526     -0.0102484
       0.411111              3      -0.333333        1.05601   -5.71874e-06     0.00708664       0.743434     -0.0236115
       0.455556              3      -0.333333        1.05351   -4.46915e-05      0.0142141       0.741535     -0.0346622
            0.5              3      -0.333333        1.05012   -8.32945e-05      0.0205978       0.738968     -0.0436461
       0.544444              3      -0.333333          1.046   -0.000121328      0.0261786       0.735857     -0.0508332
       0.588889              3      -0.333333        1.04131   -0.000158612      0.0309203       0.732307       -0.05646
       0.633333              3      -0.333333        1.03618   -0.000194985      0.0347987       0.728411     -0.0606948
       0.677778              3      -0.333333        1.03072   -0.000230304      0.0377936       0.724257     -0.0636151
       0.722222              3      -0.333333        1.02505   -0.000264445      0.0398857        0.71993     -0.0651948
       0.766667              3      -0.333333        1.01931   -0.000297303      0.0410583       0.715524     -0.0653037
       0.811111              3      -0.333333        1.01363   -0.000328797      0.0413042       0.711146     -0.0637333
       0.855556              3      -0.333333        1.00817   -0.000358867       0.040639       0.706921     -0.0602644
            0.9              3      -0.333333        1.00312   -0.000387473      0.0391184       0.702987     -0.0547885
       0.944444              3      -0.333333       0.998649   -0.000414596       0.036854       0.699484     -0.0474594
       0.988889              3      -0.333333         0.9949   -0.000440234      0.0340181        0.69653     -0.0387935
        1.03333              3      -0.333333       0.991958   -0.000464389       0.030828       0.694194     -0.0296194
        1.07778              3      -0.333333       0.989823   -0.000487065      0.0275115       0.692483     -0.0208517
        1.12222              3      -0.333333       0.988421   -0.000508266      0.0242675       0.691343      -0.013214
        1.16667              3      -0.333333       0.987627   -0.000527991      0.0212388       0.690682    -0.00707717
        1.21111              3      -0.333333       0.987303   -0.000546242      0.0185066       0.690392    -0.00247423
        1.25556              3      -0.333333       0.987318    -0.00056302      0.0161002       0.690371    0.000778982
            1.3              3      -0.333333       0.987563   -0.000578338      0.0140135       0.690535      0.0029542
        1.34444              3      -0.333333       0.987955   -0.000592209      0.0122209       0.690817     0.00432321
        1.38889              3      -0.333333       0.988434   -0.000604658      0.0106884        0.69117     0.00511657
        1.43333              3      -0.333333       0.988957   -0.000615715     0.00938021        0.69156     0.00551288
        1.47778              3      -0.333333       0.989497   -0.000625417     0.00826292       0.691966     0.00564321
      -0.477778              3      -0.266667        0.98402    0.000585908     -0.0126267       0.687809     -0.0106283
      -0.433333              3      -0.266667       0.982967    0.000570217     -0.0147848       0.687026      -0.010384
      -0.388889              3      -0.266667       0.981942    0.000553038      -0.017419       0.686275    -0.00935622
      -0.344444              3      -0.266667       0.981029    0.000534376     -0.0206421       0.685625    -0.00702503
           -0.3              3      -0.266667        0.98037    0.000514244     -0.0245814       0.685191    -0.00259548
      -0.255556              3      -0.266667       0.980192    0.000492673     -0.0293634       0.685156     0.00508402
      -0.211111              3      -0.266667       0.980841    0.000469703     -0.0350742       0.685795      0.0175196
      -0.166667              3      -0.266667       0.982807    0.000445386      -0.041681       0.687494      0.0362932
      -0.122222              3      -0.266667       0.986705     0.00041976     -0.0489039       0.690728      0.0621892
     -0.0777778              3      -0.266667       0.993138     0.00039282     -0.0560668       0.695945      0.0935624
     -0.0333333              3      -0.266667        1.00241    0.000364489     -0.0620406        0.70333       0.124756
