Field variables file

Angle of attack:         0                   
Mach:                    0.8                 
Field cells:             675                 

              x              y              z            U_x            U_y            U_z           Mach          Sigma
       0.766667              3           -0.4        1.01829    0.000200724      0.0635561       0.818361      -0.151321
       0.811111              3           -0.4        1.00852    0.000155787       0.062278        0.80944      -0.142842
       0.855556              3           -0.4       0.999395    0.000113277      0.0598099       0.801068      -0.130557
            0.9              3           -0.4       0.991223     7.3732e-05      0.0562286       0.793526      -0.113762
       0.944444              3           -0.4        0.98434    3.76645e-05      0.0516989       0.787128     -0.0925255
       0.988889              3           -0.4       0.979036    5.43267e-06      0.0464915       0.782145     -0.0681985
        1.03333              3           -0.4       0.975452    -2.2889e-05      0.0409599        0.77872     -0.0433669
        1.07778              3           -0.4       0.973524   -4.75417e-05      0.0354744       0.776805     -0.0209488
        1.12222              3           -0.4       0.972999   -6.89905e-05      0.0303425       0.776182    -0.00301119
        1.16667              3           -0.4       0.973526   -8.77753e-05      0.0257596       0.776534      0.0097932
        1.21111              3           -0.4       0.974752   -0.000104388      0.0218076       0.777543      0.0179657
        1.25556              3           -0.4       0.976384   -0.000119217      0.0184847       0.778941      0.0225537
            1.3              3           -0.4       0.978211   -0.000132538      0.0157416       0.780532      0.0246587
        1.34444              3           -0.4       0.980096   -0.000144537      0.0135106        0.78219      0.0252005
        1.38889              3           -0.4       0.981959   -0.000155331      0.0117232       0.783838      0.0248737
        1.43333              3           -0.4       0.983763   -0.000164985      0.0103195       0.785441      0.0242239
        1.47778              3           -0.4       0.985508   -0.000173517     0.00924766       0.786997      0.0237385
      -0.477778              3      -0.333333       0.977138    0.000906932     -0.0161914       0.779579     -0.0462371
      -0.433333              3      -0.333333         0.9736    0.000892253     -0.0185673       0.776454      -0.047772
      -0.388889              3      -0.333333       0.969901     0.00087597     -0.0217056        0.77321     -0.0484921
      -0.344444              3      -0.333333       0.966121    0.000858284      -0.025765       0.769929     -0.0471736
           -0.3              3      -0.333333       0.962448    0.000839609      -0.030942       0.766795     -0.0418429
      -0.255556              3      -0.333333       0.959251    0.000820692     -0.0374646        0.76416     -0.0294377
      -0.211111              3      -0.333333       0.957177    0.000802764      -0.045557        0.76263    -0.00542625
      -0.166667              3      -0.333333        0.95727    0.000787699     -0.0553521        0.76317      0.0363222
      -0.122222              3      -0.333333       0.961056    0.000778109     -0.0667234       0.767173       0.102858
     -0.0777778              3      -0.333333       0.970499    0.000777201     -0.0790305       0.776395       0.200019
     -0.0333333              3      -0.333333       0.987664    0.000788258     -0.0908578       0.792643       0.328997
      0.0111111              3      -0.333333        1.01406    0.000813636      -0.099917       0.817184       0.482519
      0.0555556              3      -0.333333        1.04965    0.000852686      -0.103245        0.84991       0.635996
            0.1              3      -0.333333        1.09118    0.000897231     -0.0978135       0.887897       0.719621
       0.144444              3      -0.333333        1.13034    0.000927977     -0.0821172        0.92362       0.609841
       0.188889              3      -0.333333        1.15619    0.000925417     -0.0586072       0.946988       0.282829
       0.233333              3      -0.333333        1.16382    0.000889253     -0.0333063       0.953391     -0.0498186
       0.277778              3      -0.333333        1.15795    0.000834126     -0.0110803       0.947307       -0.21736
       0.322222              3      -0.333333        1.14588     0.00077181     0.00694728       0.935664      -0.264921
       0.366667              3      -0.333333        1.13195    0.000708095      0.0213926       0.922509      -0.262303
       0.411111              3      -0.333333        1.11792    0.000645178      0.0330668        0.90945      -0.245872
       0.455556              3      -0.333333        1.10436    0.000583769      0.0425748       0.896943      -0.228104
            0.5              3      -0.333333         1.0913    0.000523895      0.0503404       0.884997      -0.214033
       0.544444              3      -0.333333        1.07863    0.000465405      0.0566317       0.873456      -0.204178
       0.588889              3      -0.333333        1.06617    0.000408153      0.0616031        0.86215      -0.197814
       0.633333              3      -0.333333        1.05382    0.000352092      0.0653248       0.850949      -0.193572
       0.677778              3      -0.333333        1.04151    0.000297299      0.0678095       0.839789      -0.190037
       0.722222              3      -0.333333        1.02927    0.000243963      0.0690336       0.828678      -0.185923
       0.766667              3      -0.333333        1.01721    0.000192385      0.0689526         0.8177      -0.180002
       0.811111              3      -0.333333         1.0055     0.00014299      0.0675155        0.80702      -0.170917
       0.855556              3      -0.333333       0.994468    9.63517e-05      0.0646873       0.796907       -0.15702
            0.9              3      -0.333333       0.984534    5.32028e-05      0.0604926        0.78775      -0.136615
       0.944444              3      -0.333333       0.976233    1.43299e-05       0.055083       0.780038      -0.108973
       0.988889              3      -0.333333       0.970071   -1.96751e-05      0.0487965       0.774239     -0.0757847
        1.03333              3      -0.333333       0.966317   -4.87054e-05      0.0421398       0.770616     -0.0415603
        1.07778              3      -0.333333       0.964856    -7.3224e-05      0.0356608       0.769082     -0.0116747
        1.12222              3      -0.333333       0.965232   -9.40492e-05      0.0297841        0.76924       0.010499
        1.16667              3      -0.333333       0.966853   -0.000112039       0.024728       0.770557      0.0245773
        1.21111              3      -0.333333       0.969181   -0.000127889      0.0205299       0.772545       0.032111
        1.25556              3      -0.333333       0.971821   -0.000142081        0.01712       0.774841      0.0351631
            1.3              3      -0.333333       0.974523   -0.000154913       0.014387       0.777215      0.0355055
        1.34444              3      -0.333333       0.977149   -0.000166557      0.0122171       0.779537      0.0344078
        1.38889              3      -0.333333       0.979637     -0.0001771      0.0105109       0.781746      0.0327047
        1.43333              3      -0.333333       0.981972    -0.00018658     0.00918775       0.783826      0.0309321
        1.47778              3      -0.333333       0.984166   -0.000195005     0.00818259       0.785785      0.0294084
      -0.477778              3      -0.266667       0.974236    0.000936861       -0.01386       0.776953     -0.0588757
      -0.433333              3      -0.266667       0.969667    0.000920044     -0.0160102       0.772903     -0.0627932
      -0.388889              3      -0.266667       0.964712    0.000901271     -0.0189048       0.768533     -0.0667941
      -0.344444              3      -0.266667       0.959366     0.00088065      -0.022742       0.763852     -0.0698112
           -0.3              3      -0.266667       0.953727    0.000858511      -0.027796       0.758964     -0.0699098
      -0.255556              3      -0.266667       0.948074     0.00083557     -0.0344362        0.75415     -0.0636458
      -0.211111              3      -0.266667       0.943032    0.000813191     -0.0431253       0.750008     -0.0450727
      -0.166667              3      -0.266667        0.93981    0.000793765     -0.0543545       0.747679    -0.00454029
      -0.122222              3      -0.266667       0.940522    0.000781135      -0.068424       0.749116      0.0717639
     -0.0777778              3      -0.266667        0.94837    0.000780698     -0.0849555       0.757222       0.199057
     -0.0333333              3      -0.266667       0.967257    0.000798655      -0.102194       0.775439       0.385858
      0.0111111              3      -0.266667        1.00047    0.000840333      -0.116612       0.806546       0.626114
      0.0555556              3      -0.266667        1.04895    0.000907726      -0.123433       0.851272       0.897257
